,mbti,enneagram,role,movie,img_url,enn_1,enn_2,downthemall,img_filepath
0,ESFP,7w6,"Peter Quill ""Star-Lord""",   Marvel Cinematic Universe,https://www.personality-database.com/profile_images/800.png?=undefined,7,6,<a href='https://www.personality-database.com/profile_images/800.png?=undefined'></a>,downthemall/800.png
1,ESFP,8w7,Anakin Skywalker,   Star Wars,https://www.personality-database.com/profile_images/57.png?=undefined,8,7,<a href='https://www.personality-database.com/profile_images/57.png?=undefined'></a>,downthemall/57.png
2,ESFP,6w7,Ron Weasley,   Harry Potter ,https://www.personality-database.com/profile_images/709.png?=undefined,6,7,<a href='https://www.personality-database.com/profile_images/709.png?=undefined'></a>,downthemall/709.png
3,ESFP,7w8,Bellatrix Lestrange,   Harry Potter ,https://www.personality-database.com/profile_images/4045.png?=undefined,7,8,<a href='https://www.personality-database.com/profile_images/4045.png?=undefined'></a>,downthemall/4045.png
4,ESFP,7w6,Simba,   The Lion King ,https://www.personality-database.com/profile_images/868.png?=undefined,7,6,<a href='https://www.personality-database.com/profile_images/868.png?=undefined'></a>,downthemall/868.png
5,ESFP,7w6,Donkey,   Shrek ,https://www.personality-database.com/profile_images/1936.png?=undefined,7,6,<a href='https://www.personality-database.com/profile_images/1936.png?=undefined'></a>,downthemall/1936.png
6,ESFP,9w8,"Bob Parr ""Mr. Incredible""",   The Incredibles ,https://www.personality-database.com/profile_images/6583.png?=undefined,9,8,<a href='https://www.personality-database.com/profile_images/6583.png?=undefined'></a>,downthemall/6583.png
7,ESFP,7w6,Jack Dawson,   Titanic ,https://www.personality-database.com/profile_images/2835.png?=undefined,7,6,<a href='https://www.personality-database.com/profile_images/2835.png?=undefined'></a>,downthemall/2835.png
8,ESFP,7w8,Aladdin,   Aladdin ,https://www.personality-database.com/profile_images/611.png?=undefined,7,8,<a href='https://www.personality-database.com/profile_images/611.png?=undefined'></a>,downthemall/611.png
9,ESFP,7w6,Marty McFly,   Back to the Future ,https://www.personality-database.com/profile_images/1355.png?=undefined,7,6,<a href='https://www.personality-database.com/profile_images/1355.png?=undefined'></a>,downthemall/1355.png
10,ESFP,8w7,Jasmine,   Aladdin ,https://www.personality-database.com/profile_images/2928.png?=undefined,8,7,<a href='https://www.personality-database.com/profile_images/2928.png?=undefined'></a>,downthemall/2928.png
11,ESFP,4w3,Marla Singer,   Fight Club ,https://www.personality-database.com/profile_images/6820.png?=undefined,4,3,<a href='https://www.personality-database.com/profile_images/6820.png?=undefined'></a>,downthemall/6820.png
12,ESFP,8w7,Erik Killmonger,   Marvel Cinematic Universe,https://www.personality-database.com/profile_images/9912.png?=undefined,8,7,<a href='https://www.personality-database.com/profile_images/9912.png?=undefined'></a>,downthemall/9912.png
13,ESFP,8w7,Elizabeth Swann,   Pirates of the Caribbean,https://www.personality-database.com/profile_images/605.png?=undefined,8,7,<a href='https://www.personality-database.com/profile_images/605.png?=undefined'></a>,downthemall/605.png
14,ESFP,6w7,"Sam Wilson ""Falcon""",   Marvel Cinematic Universe,https://www.personality-database.com/profile_images/804.png?=undefined,6,7,<a href='https://www.personality-database.com/profile_images/804.png?=undefined'></a>,downthemall/804.png
15,ESFP,8w7,Chewbacca,   Star Wars,https://www.personality-database.com/profile_images/2582.png?=undefined,8,7,<a href='https://www.personality-database.com/profile_images/2582.png?=undefined'></a>,downthemall/2582.png
16,ESFP,7w6,Jar Jar Binks,   Star Wars,https://www.personality-database.com/profile_images/60.png?=undefined,7,6,<a href='https://www.personality-database.com/profile_images/60.png?=undefined'></a>,downthemall/60.png
17,ESFP,3w2,Gilderoy Lockhart,   Harry Potter ,https://www.personality-database.com/profile_images/3546.png?=undefined,3,2,<a href='https://www.personality-database.com/profile_images/3546.png?=undefined'></a>,downthemall/3546.png
18,ESFP,7w6,Miguel Rivera,   Coco ,https://www.personality-database.com/profile_images/10477.png?=undefined,7,6,<a href='https://www.personality-database.com/profile_images/10477.png?=undefined'></a>,downthemall/10477.png
19,ESFP,7w6,"Peregrin ""Pippin"" Took",   The Lord of the Rings,https://www.personality-database.com/profile_images/577.png?=undefined,7,6,<a href='https://www.personality-database.com/profile_images/577.png?=undefined'></a>,downthemall/577.png
20,ESFP,9w8,Pumbaa,   The Lion King ,https://www.personality-database.com/profile_images/870.png?=undefined,9,8,<a href='https://www.personality-database.com/profile_images/870.png?=undefined'></a>,downthemall/870.png
21,ESFP,7w8,Dudley Dursley,   Harry Potter ,https://www.personality-database.com/profile_images/13735.png?=undefined,7,8,<a href='https://www.personality-database.com/profile_images/13735.png?=undefined'></a>,downthemall/13735.png
22,ESFP,7w6,Nemo,   Finding Nemo ,https://www.personality-database.com/profile_images/3073.png?=undefined,7,6,<a href='https://www.personality-database.com/profile_images/3073.png?=undefined'></a>,downthemall/3073.png
23,ESFP,7w8,Jessie,   Toy Story ,https://www.personality-database.com/profile_images/2218.png?=undefined,7,8,<a href='https://www.personality-database.com/profile_images/2218.png?=undefined'></a>,downthemall/2218.png
24,ESFP,7w8,Prince Naveen,   The Princess and the Frog ,https://www.personality-database.com/profile_images/6343.png?=undefined,7,8,<a href='https://www.personality-database.com/profile_images/6343.png?=undefined'></a>,downthemall/6343.png
25,ESFP,7w6,Tigger,   Winnie the Pooh ,https://www.personality-database.com/profile_images/8743.png?=undefined,7,6,<a href='https://www.personality-database.com/profile_images/8743.png?=undefined'></a>,downthemall/8743.png
26,ESFP,2w3,Jenny,   Forrest Gump ,https://www.personality-database.com/profile_images/7022.png?=undefined,2,3,<a href='https://www.personality-database.com/profile_images/7022.png?=undefined'></a>,downthemall/7022.png
27,ESFP,3w2,Charlotte LaBouff,   The Princess and the Frog ,https://www.personality-database.com/profile_images/14698.png?=undefined,3,2,<a href='https://www.personality-database.com/profile_images/14698.png?=undefined'></a>,downthemall/14698.png
28,ESFP,3w4,Rick Dalton,   Once Upon a Time in Hollywood ,https://www.personality-database.com/profile_images/37836.png?=undefined,3,4,<a href='https://www.personality-database.com/profile_images/37836.png?=undefined'></a>,downthemall/37836.png
29,ESFP,8w7,Hulk,   Marvel Cinematic Universe,https://www.personality-database.com/profile_images/20233.png?=undefined,8,7,<a href='https://www.personality-database.com/profile_images/20233.png?=undefined'></a>,downthemall/20233.png
30,ESFP,2w3,Lavender Brown,   Harry Potter ,https://www.personality-database.com/profile_images/13736.png?=undefined,2,3,<a href='https://www.personality-database.com/profile_images/13736.png?=undefined'></a>,downthemall/13736.png
31,ESFP,3w2,Caesar Flickerman,   The Hunger Games,https://www.personality-database.com/profile_images/1155.png?=undefined,3,2,<a href='https://www.personality-database.com/profile_images/1155.png?=undefined'></a>,downthemall/1155.png
32,ESFP,7w6,Augustus Gloop,   Charlie and the Chocolate Factory ,https://www.personality-database.com/profile_images/45443.png?=undefined,7,6,<a href='https://www.personality-database.com/profile_images/45443.png?=undefined'></a>,downthemall/45443.png
33,ESFP,7w6,Mater,   Cars ,https://www.personality-database.com/profile_images/13654.png?=undefined,7,6,<a href='https://www.personality-database.com/profile_images/13654.png?=undefined'></a>,downthemall/13654.png
34,ESFP,7w6,Dug,   Up ,https://www.personality-database.com/profile_images/5731.png?=undefined,7,6,<a href='https://www.personality-database.com/profile_images/5731.png?=undefined'></a>,downthemall/5731.png
35,ESFP,2w3,Frederico Corleone,   The Godfather,https://www.personality-database.com/profile_images/4036.png?=undefined,2,3,<a href='https://www.personality-database.com/profile_images/4036.png?=undefined'></a>,downthemall/4036.png
36,ESFP,2w3,Peter Kavinsky,   To All the Boys I've Loved Before ,https://www.personality-database.com/profile_images/15175.png?=undefined,2,3,<a href='https://www.personality-database.com/profile_images/15175.png?=undefined'></a>,downthemall/15175.png
37,ESFP,7w6,Clawhauser,   Zootopia ,https://www.personality-database.com/profile_images/2563.png?=undefined,7,6,<a href='https://www.personality-database.com/profile_images/2563.png?=undefined'></a>,downthemall/2563.png
38,ESFP,7w6,Jonathan,   Hotel Transylvania ,https://www.personality-database.com/profile_images/12271.png?=undefined,7,6,<a href='https://www.personality-database.com/profile_images/12271.png?=undefined'></a>,downthemall/12271.png
39,ESFP,7w6,Ed,   The Lion King ,https://www.personality-database.com/profile_images/37223.png?=undefined,7,6,<a href='https://www.personality-database.com/profile_images/37223.png?=undefined'></a>,downthemall/37223.png
40,ESFP,8w7,David Mills,   Se7en ,https://www.personality-database.com/profile_images/10897.png?=undefined,8,7,<a href='https://www.personality-database.com/profile_images/10897.png?=undefined'></a>,downthemall/10897.png
41,ESFP,3w4,Heather Duke,   Heathers ,https://www.personality-database.com/profile_images/2778.png?=undefined,3,4,<a href='https://www.personality-database.com/profile_images/2778.png?=undefined'></a>,downthemall/2778.png
42,ESFP,7w8,Agent J / James Darrell Edwards III,   Men in Black,https://www.personality-database.com/profile_images/2854.png?=undefined,7,8,<a href='https://www.personality-database.com/profile_images/2854.png?=undefined'></a>,downthemall/2854.png
43,ESFP,7w6,Gobber,   How to Train Your Dragon ,https://www.personality-database.com/profile_images/898.png?=undefined,7,6,<a href='https://www.personality-database.com/profile_images/898.png?=undefined'></a>,downthemall/898.png
44,ESFP,9w1,Crush,   Finding Nemo ,https://www.personality-database.com/profile_images/20406.png?=undefined,9,1,<a href='https://www.personality-database.com/profile_images/20406.png?=undefined'></a>,downthemall/20406.png
45,ESFP,2w3,Lumiere,   Beauty and the Beast ,https://www.personality-database.com/profile_images/8773.png?=undefined,2,3,<a href='https://www.personality-database.com/profile_images/8773.png?=undefined'></a>,downthemall/8773.png
46,ESFP,6w7,Scrat,   Ice Age ,https://www.personality-database.com/profile_images/70976.png?=undefined,6,7,<a href='https://www.personality-database.com/profile_images/70976.png?=undefined'></a>,downthemall/70976.png
47,ESFP,9w8,Monkey,   Kung Fu Panda ,https://www.personality-database.com/profile_images/6506.png?=undefined,9,8,<a href='https://www.personality-database.com/profile_images/6506.png?=undefined'></a>,downthemall/6506.png
48,ESFP,6w7,Ryan Evans,   High School Musical ,https://www.personality-database.com/profile_images/27288.png?=undefined,6,7,<a href='https://www.personality-database.com/profile_images/27288.png?=undefined'></a>,downthemall/27288.png
49,ESFP,3w4,"Eddie Brock ""Venom""",   The Spider-Man Trilogy,https://www.personality-database.com/profile_images/1089.png?=undefined,3,4,<a href='https://www.personality-database.com/profile_images/1089.png?=undefined'></a>,downthemall/1089.png
50,ESFP,7w6,"Billy Batson ""Shazam""",   DC Extended Universe,https://www.personality-database.com/profile_images/26554.png?=undefined,7,6,<a href='https://www.personality-database.com/profile_images/26554.png?=undefined'></a>,downthemall/26554.png
51,ESFP,7w8,Kiara,   The Lion King ,https://www.personality-database.com/profile_images/14026.png?=undefined,7,8,<a href='https://www.personality-database.com/profile_images/14026.png?=undefined'></a>,downthemall/14026.png
52,ESFP,7w6,Mowgli,   The Jungle Book ,https://www.personality-database.com/profile_images/2295.png?=undefined,7,6,<a href='https://www.personality-database.com/profile_images/2295.png?=undefined'></a>,downthemall/2295.png
53,ESFP,9w8,Baloo,   The Jungle Book ,https://www.personality-database.com/profile_images/2296.png?=undefined,9,8,<a href='https://www.personality-database.com/profile_images/2296.png?=undefined'></a>,downthemall/2296.png
54,ESFP,2w3,Elle Evans,   The Kissing Booth,https://www.personality-database.com/profile_images/31307.png?=undefined,2,3,<a href='https://www.personality-database.com/profile_images/31307.png?=undefined'></a>,downthemall/31307.png
55,ESFP,6w7,Hal Stewart,   Megamind ,https://www.personality-database.com/profile_images/41979.png?=undefined,6,7,<a href='https://www.personality-database.com/profile_images/41979.png?=undefined'></a>,downthemall/41979.png
56,ESFP,7w6,Pussycat,   Once Upon a Time in Hollywood ,https://www.personality-database.com/profile_images/53168.png?=undefined,7,6,<a href='https://www.personality-database.com/profile_images/53168.png?=undefined'></a>,downthemall/53168.png
57,ESFP,3w4,Angela Hayes,   American Beauty ,https://www.personality-database.com/profile_images/10533.png?=undefined,3,4,<a href='https://www.personality-database.com/profile_images/10533.png?=undefined'></a>,downthemall/10533.png
58,ESFP,7w6,Other Father,   Coraline ,https://www.personality-database.com/profile_images/7253.png?=undefined,7,6,<a href='https://www.personality-database.com/profile_images/7253.png?=undefined'></a>,downthemall/7253.png
59,ESFP,7w8,Tuffnut,   How to Train Your Dragon ,https://www.personality-database.com/profile_images/896.png?=undefined,7,8,<a href='https://www.personality-database.com/profile_images/896.png?=undefined'></a>,downthemall/896.png
60,ESFP,7w8,Tuffnut,   How to Train Your Dragon ,https://www.personality-database.com/profile_images/896.png?=undefined,7,8,<a href='https://www.personality-database.com/profile_images/896.png?=undefined'></a>,downthemall/896.png
61,ESFP,7w6,Freddie Mercury,   Bohemian Rhapsody ,https://www.personality-database.com/profile_images/19259.png?=undefined,7,6,<a href='https://www.personality-database.com/profile_images/19259.png?=undefined'></a>,downthemall/19259.png
62,ESFP,6w7,Erika,   Barbie as the Princess and the Pauper ,https://www.personality-database.com/profile_images/55899.png?=undefined,6,7,<a href='https://www.personality-database.com/profile_images/55899.png?=undefined'></a>,downthemall/55899.png
63,ESFP,7w6,Daniel LaRusso,   Karate Kid ,https://www.personality-database.com/profile_images/11831.png?=undefined,7,6,<a href='https://www.personality-database.com/profile_images/11831.png?=undefined'></a>,downthemall/11831.png
64,ESFP,7w6,"Mary ""Boo"" Gibbs","   Monsters, Inc. ",https://www.personality-database.com/profile_images/10518.png?=undefined,7,6,<a href='https://www.personality-database.com/profile_images/10518.png?=undefined'></a>,downthemall/10518.png
65,ESFP,7w6,Kili,   The Hobbit,https://www.personality-database.com/profile_images/17937.png?=undefined,7,6,<a href='https://www.personality-database.com/profile_images/17937.png?=undefined'></a>,downthemall/17937.png
